Entity,Code,Year,"Average effective age of retirement, women (OECD)","Average effective age of retirement, men (OECD)"
Argentina,ARG,1982,70.9,66.6
Argentina,ARG,1983,67.3,66.4
Argentina,ARG,1984,67.9,66.2
Argentina,ARG,1985,68,65.8
Argentina,ARG,1986,68.4,66.6
Argentina,ARG,1987,68.8,67.3
Argentina,ARG,1988,70.6,67.7
Argentina,ARG,1989,70.7,67.5
Argentina,ARG,1990,68.2,67.3
Argentina,ARG,1991,68.7,68.3
Argentina,ARG,1992,69.6,69.6
Argentina,ARG,1993,69.2,68.4
Argentina,ARG,1994,68.9,67.1
Argentina,ARG,1995,67.5,67.3
Argentina,ARG,1996,66.9,68.1
Argentina,ARG,1997,67.90000153,68.69999695
Argentina,ARG,1998,69,69.19999695
Argentina,ARG,1999,70.3,69.6
Argentina,ARG,2000,71.6,70.1
Argentina,ARG,2001,69.7,70.1
Argentina,ARG,2002,68.3,70.2
Argentina,ARG,2003,67.3,70.3
Argentina,ARG,2004,67,69.4
Argentina,ARG,2005,65.9,68.6
Argentina,ARG,2006,66,69
Argentina,ARG,2007,63.8,68.8
Argentina,ARG,2008,63.4,69.6
Argentina,ARG,2009,64,67.9
Argentina,ARG,2010,64.8,68.2
Argentina,ARG,2011,65,68.7
Argentina,ARG,2012,65.9,68.7
Argentina,ARG,2013,64.8,67.5
Argentina,ARG,2014,64.1,67.1
Argentina,ARG,2015,63.9,67.1
Argentina,ARG,2016,63.2,67.3
Argentina,ARG,2017,63.70000076,66.5
Argentina,ARG,2018,64.30000305,66.59999847
Australia,AUS,1970,65.2,67.4
Australia,AUS,1971,64.9,67.1
Australia,AUS,1972,64.4,67.2
Australia,AUS,1973,63.6,66.1
Australia,AUS,1974,63.5,66.1
Australia,AUS,1975,61.7,65.7
Australia,AUS,1976,62.6,65.5
Australia,AUS,1977,60.9,65.6
Australia,AUS,1978,60.3,65.2
Australia,AUS,1979,60.2,64.5
Australia,AUS,1980,60,64.1
Australia,AUS,1981,59.5,63.6
Australia,AUS,1982,59.5,63.3
Australia,AUS,1983,58.7,63.4
Australia,AUS,1984,58.7,62.9
Australia,AUS,1985,58.9,62.5
Australia,AUS,1986,59.3,62.8
Australia,AUS,1987,59,62.3
Australia,AUS,1988,60.1,61.6
Australia,AUS,1989,60,62.1
Australia,AUS,1990,60.4,62.5
Australia,AUS,1991,60,62.3
Australia,AUS,1992,60.1,62.4
Australia,AUS,1993,60.5,62.8
Australia,AUS,1994,59.2,62.6
Australia,AUS,1995,59.4,62.3
Australia,AUS,1996,59,62.1
Australia,AUS,1997,59,61.90000153
Australia,AUS,1998,59,61.5
Australia,AUS,1999,59.5,62.2
Australia,AUS,2000,59.6,62
Australia,AUS,2001,60.1,62.1
Australia,AUS,2002,60.5,63
Australia,AUS,2003,61,63.1
Australia,AUS,2004,60.6,62.8
Australia,AUS,2005,61.3,63.7
Australia,AUS,2006,62.1,63.9
Australia,AUS,2007,61.8,64
Australia,AUS,2008,61.4,63.7
Australia,AUS,2009,62.5,64.4
Australia,AUS,2010,62.7,64.5
Australia,AUS,2011,62.7,64.9
Australia,AUS,2012,62.7,64.8
Australia,AUS,2013,62.9,65.4
Australia,AUS,2014,62.7,65
Australia,AUS,2015,63.2,65.4
Australia,AUS,2016,63.6,65.2
Australia,AUS,2017,64.19999695,65.59999847
Australia,AUS,2018,64.30000305,65.30000305
Austria,AUT,1970,64.2,66.8
Austria,AUT,1971,64.3,66.5
Austria,AUT,1972,64.3,65.8
Austria,AUT,1973,65,65.9
Austria,AUT,1974,65.4,66
Austria,AUT,1975,65.2,66.4
Austria,AUT,1976,64.8,66.3
Austria,AUT,1977,64.7,65.9
Austria,AUT,1978,64,65.4
Austria,AUT,1979,63,65.2
Austria,AUT,1980,62.6,64.8
Austria,AUT,1981,62.1,63.8
Austria,AUT,1982,61.7,63.4
Austria,AUT,1983,61.4,63.3
Austria,AUT,1984,61.7,63.2
Austria,AUT,1985,61.4,62.5
Austria,AUT,1986,60.9,62.2
Austria,AUT,1987,61,62.4
Austria,AUT,1988,60.8,62.5
Austria,AUT,1989,60.7,62.6
Austria,AUT,1990,60.8,62.7
Austria,AUT,1991,60.7,62.5
Austria,AUT,1992,60.4,62.1
Austria,AUT,1993,60,61.9
Austria,AUT,1994,59.8,61.6
Austria,AUT,1995,59.6,60.9
Austria,AUT,1996,59.5,60.8
Austria,AUT,1997,59.79999924,60.79999924
Austria,AUT,1998,59.90000153,61
Austria,AUT,1999,59.1,61
Austria,AUT,2000,58.9,60.3
Austria,AUT,2001,58.3,59.5
Austria,AUT,2002,59.1,59.9
Austria,AUT,2003,59,60.2
Austria,AUT,2004,58.2,58.8
Austria,AUT,2005,57.9,58.6
Austria,AUT,2006,58.8,59.1
Austria,AUT,2007,57.7,58.4
Austria,AUT,2008,57.5,57.9
Austria,AUT,2009,57.3,58.7
Austria,AUT,2010,57.8,59.7
Austria,AUT,2011,58.3,60.1
Austria,AUT,2012,59.3,61.7
Austria,AUT,2013,60.1,61.9
Austria,AUT,2014,60.2,62.2
Austria,AUT,2015,60.3,61.8
Austria,AUT,2016,60.6,62
Austria,AUT,2017,61.09999847,63
Austria,AUT,2018,60.79999924,63.5
Belgium,BEL,1970,62.7,64.1
Belgium,BEL,1971,62.9,64.2
Belgium,BEL,1972,63.1,64.2
Belgium,BEL,1973,63.1,64.2
Belgium,BEL,1974,63,64.2
Belgium,BEL,1975,63,64.2
Belgium,BEL,1976,61.8,63.6
Belgium,BEL,1977,60.2,63.2
Belgium,BEL,1978,59.9,62.5
Belgium,BEL,1979,59.8,62
Belgium,BEL,1980,59,61.5
Belgium,BEL,1981,58.9,61.1
Belgium,BEL,1982,59.2,61
Belgium,BEL,1983,58.1,61
Belgium,BEL,1984,57.4,60.7
Belgium,BEL,1985,57.5,60.6
Belgium,BEL,1986,57.2,60.1
Belgium,BEL,1987,56.3,59.4
Belgium,BEL,1988,55.9,58.8
Belgium,BEL,1989,55.9,58.7
Belgium,BEL,1990,56.1,58.5
Belgium,BEL,1991,56.5,58.8
Belgium,BEL,1992,55.4,58
Belgium,BEL,1993,56.8,57.9
Belgium,BEL,1994,56.8,58
Belgium,BEL,1995,56.4,58.3
Belgium,BEL,1996,55.5,57.9
Belgium,BEL,1997,56.79999924,58.5
Belgium,BEL,1998,56.79999924,58.5
Belgium,BEL,1999,57.6,58.1
Belgium,BEL,2000,57.1,58.5
Belgium,BEL,2001,57,58.5
Belgium,BEL,2002,56.8,58.5
Belgium,BEL,2003,56.4,57.6
Belgium,BEL,2004,57,58.6
Belgium,BEL,2005,57.6,58.7
Belgium,BEL,2006,57.9,59
Belgium,BEL,2007,59,59.6
Belgium,BEL,2008,59.3,59.9
Belgium,BEL,2009,59.8,59.5
Belgium,BEL,2010,59,60.6
Belgium,BEL,2011,59,59.6
Belgium,BEL,2012,58.7,59.6
Belgium,BEL,2013,59,59.8
Belgium,BEL,2014,59.2,59.9
Belgium,BEL,2015,59.6,60.1
Belgium,BEL,2016,59.7,61.3
Belgium,BEL,2017,60.09999847,61.70000076
Belgium,BEL,2018,60.5,61.59999847
Brazil,BRA,1970,73.6,72.1
Brazil,BRA,1971,73.7,71.8
Brazil,BRA,1972,73.9,71.5
Brazil,BRA,1973,74.1,71.3
Brazil,BRA,1974,74.5,71
Brazil,BRA,1975,74.4,70.7
Brazil,BRA,1976,74.2,70.5
Brazil,BRA,1977,74,70.3
Brazil,BRA,1978,73.7,70.1
Brazil,BRA,1979,73.5,69.9
Brazil,BRA,1980,73.3,69.7
Brazil,BRA,1981,73,69.5
Brazil,BRA,1982,72.6,69.3
Brazil,BRA,1983,72.3,69.1
Brazil,BRA,1984,72,68.9
Brazil,BRA,1985,71.7,68.7
Brazil,BRA,1986,70.1,68.5
Brazil,BRA,1987,71.5,69.4
Brazil,BRA,1988,70.1,69.4
Brazil,BRA,1989,69.4,68.5
Brazil,BRA,1990,68.6,68.8
Brazil,BRA,1991,67.4,68.4
Brazil,BRA,1992,65,68
Brazil,BRA,1993,63.6,67.9
Brazil,BRA,1994,65.1,68
Brazil,BRA,1995,65.2,68.1
Brazil,BRA,1996,63.4,67.4
Brazil,BRA,1997,63.90000153,67.30000305
Brazil,BRA,1998,63.29999924,66.90000153
Brazil,BRA,1999,63.9,66.8
Brazil,BRA,2000,62.8,66.7
Brazil,BRA,2001,63.9,66.8
Brazil,BRA,2002,63.8,67.3
Brazil,BRA,2003,65.1,67.5
Brazil,BRA,2004,63.8,68.1
Brazil,BRA,2005,64.7,67.6
Brazil,BRA,2006,65.6,67.4
Brazil,BRA,2007,63.6,67.5
Brazil,BRA,2008,63.2,68.2
Brazil,BRA,2009,63.5,67.7
Brazil,BRA,2010,63,68.3
Brazil,BRA,2011,62.3,68.4
Brazil,BRA,2012,62.7,67.4
Brazil,BRA,2013,63,67.6
Brazil,BRA,2014,62.4,67.1
Brazil,BRA,2015,62.6,67.2
Brazil,BRA,2016,63.5,67.7
Brazil,BRA,2017,63.20000076,66.59999847
Brazil,BRA,2018,63.29999924,66.59999847
Bulgaria,BGR,1970,59.5,66.5
Bulgaria,BGR,1971,59.1,66.2
Bulgaria,BGR,1972,58.8,65.8
Bulgaria,BGR,1973,58.5,65.5
Bulgaria,BGR,1974,58.2,65.1
Bulgaria,BGR,1975,58,64.8
Bulgaria,BGR,1976,57.6,64.4
Bulgaria,BGR,1977,57.2,63.9
Bulgaria,BGR,1978,56.8,63.5
Bulgaria,BGR,1979,56.3,63
Bulgaria,BGR,1980,55.9,62.4
Bulgaria,BGR,1981,56,62.5
Bulgaria,BGR,1982,56.1,62.5
Bulgaria,BGR,1983,56.2,62.5
Bulgaria,BGR,1984,56.4,62.6
Bulgaria,BGR,1985,56.5,62.6
Bulgaria,BGR,1986,56.8,62.6
Bulgaria,BGR,1987,57.1,62.5
Bulgaria,BGR,1988,57.3,62.5
Bulgaria,BGR,1989,57.5,62.4
Bulgaria,BGR,1990,57.6,62.4
Bulgaria,BGR,1991,57.2,61.8
Bulgaria,BGR,1992,56.8,61.1
Bulgaria,BGR,1993,56.3,60.5
Bulgaria,BGR,1994,55.8,59.9
Bulgaria,BGR,1995,55.4,59.3
Bulgaria,BGR,1996,54.9,58.6
Bulgaria,BGR,1997,54.40000153,58
Bulgaria,BGR,1998,54.5,58.09999847
Bulgaria,BGR,1999,54.6,58.1
Bulgaria,BGR,2000,54.7,58.2
Bulgaria,BGR,2001,55.4,58.1
Bulgaria,BGR,2002,55.3,57.7
Bulgaria,BGR,2003,54.5,57
Bulgaria,BGR,2004,55.4,57.6
Bulgaria,BGR,2005,55.9,58.9
Bulgaria,BGR,2006,56.8,59.8
Bulgaria,BGR,2007,58.9,62.7
Bulgaria,BGR,2008,60.8,65.7
Bulgaria,BGR,2009,60.4,64.4
Bulgaria,BGR,2010,60.5,62.9
Bulgaria,BGR,2011,60.1,61.9
Bulgaria,BGR,2012,59.5,61
Bulgaria,BGR,2013,60.2,61.7
Bulgaria,BGR,2014,60.7,61.8
Bulgaria,BGR,2015,61,62.5
Bulgaria,BGR,2016,60.7,63.1
Bulgaria,BGR,2017,61,64.09999847
Bulgaria,BGR,2018,61.40000153,64.69999695
Canada,CAN,1970,66.3,66
Canada,CAN,1971,66.3,65.9
Canada,CAN,1972,66.1,65.8
Canada,CAN,1973,65.6,65.7
Canada,CAN,1974,65.2,65.6
Canada,CAN,1975,64.9,65.5
Canada,CAN,1976,64.7,65.4
Canada,CAN,1977,64.1,65.2
Canada,CAN,1978,63.7,65.2
Canada,CAN,1979,64.3,65.1
Canada,CAN,1980,63.9,65.1
Canada,CAN,1981,63.5,65
Canada,CAN,1982,63.5,64.5
Canada,CAN,1983,63.5,64.5
Canada,CAN,1984,62.4,64
Canada,CAN,1985,62.9,63.7
Canada,CAN,1986,62.5,63.6
Canada,CAN,1987,62.5,63.9
Canada,CAN,1988,62.5,63.5
Canada,CAN,1989,62.9,63.7
Canada,CAN,1990,61.8,63.2
Canada,CAN,1991,62.2,62.8
Canada,CAN,1992,61.8,62.5
Canada,CAN,1993,61.3,62.3
Canada,CAN,1994,60.8,62.2
Canada,CAN,1995,60.1,62.6
Canada,CAN,1996,59.5,62.5
Canada,CAN,1997,59.79999924,62.5
Canada,CAN,1998,60.20000076,62.20000076
Canada,CAN,1999,60.6,62.9
Canada,CAN,2000,60.8,62.7
Canada,CAN,2001,61.1,62.9
Canada,CAN,2002,61.5,63.2
Canada,CAN,2003,62.2,63.8
Canada,CAN,2004,62,63.3
Canada,CAN,2005,61.6,63.5
Canada,CAN,2006,61.9,63.3
Canada,CAN,2007,62,63.3
Canada,CAN,2008,61.6,63.6
Canada,CAN,2009,62.1,63.4
Canada,CAN,2010,62.3,63.4
Canada,CAN,2011,62.6,64
Canada,CAN,2012,62.7,63.9
Canada,CAN,2013,63.2,63.9
Canada,CAN,2014,62.5,64.6
Canada,CAN,2015,63.2,65.1
Canada,CAN,2016,63.1,66
Canada,CAN,2017,63.59999847,66
Canada,CAN,2018,64,65.5
Chile,CHL,1970,65.9,70.8
Chile,CHL,1971,66.5,70.9
Chile,CHL,1972,67.3,71
Chile,CHL,1973,68.2,71
Chile,CHL,1974,69,71
Chile,CHL,1975,70,71
Chile,CHL,1976,69.7,70.6
Chile,CHL,1977,69.1,70.2
Chile,CHL,1978,68.3,69.9
Chile,CHL,1979,67.6,69.6
Chile,CHL,1980,67,69.2
Chile,CHL,1981,65.9,68.3
Chile,CHL,1982,65.1,66.7
Chile,CHL,1983,66,66.9
Chile,CHL,1984,65.6,67
Chile,CHL,1985,65.7,68.4
Chile,CHL,1986,65,68
Chile,CHL,1987,69.7,70.7
Chile,CHL,1988,67.4,70
Chile,CHL,1989,69.4,70.5
Chile,CHL,1990,71.3,67.5
Chile,CHL,1991,64.1,68.1
Chile,CHL,1992,63.6,68.4
Chile,CHL,1993,66.7,68.5
Chile,CHL,1994,67.3,68.5
Chile,CHL,1995,63.2,68.3
Chile,CHL,1996,65.4,67.9
Chile,CHL,1997,66,69.09999847
Chile,CHL,1998,66,69.80000305
Chile,CHL,1999,65.2,70.3
Chile,CHL,2000,67.4,69.9
Chile,CHL,2001,66.2,68.9
Chile,CHL,2002,63.9,68.7
Chile,CHL,2003,65.4,68
Chile,CHL,2004,65,67.6
Chile,CHL,2005,66.6,67.9
Chile,CHL,2006,68,68.3
Chile,CHL,2007,70.4,68.6
Chile,CHL,2008,67.9,69.5
Chile,CHL,2009,68.5,69.3
Chile,CHL,2010,67.9,69.1
Chile,CHL,2011,68.4,69.2
Chile,CHL,2012,68.9,69.8
Chile,CHL,2013,68.1,69.2
Chile,CHL,2014,68.2,69.7
Chile,CHL,2015,67.5,70.9
Chile,CHL,2016,67.1,70.7
Chile,CHL,2017,66.09999847,70.19999695
Chile,CHL,2018,66.69999695,70
China,CHN,1987,56.4,66.7
China,CHN,1988,57,66.7
China,CHN,1989,57.5,66.8
China,CHN,1990,58,66.9
China,CHN,1991,57.7,66.8
China,CHN,1992,57.3,66.7
China,CHN,1993,57,66.6
China,CHN,1994,56.7,66.6
China,CHN,1995,56.4,66.5
China,CHN,1996,56.9,66.5
China,CHN,1997,57.40000153,66.5
China,CHN,1998,57.90000153,66.5
China,CHN,1999,58.4,66.5
China,CHN,2000,59,66.5
China,CHN,2001,59.8,66.6
China,CHN,2002,60.6,66.8
China,CHN,2003,61.2,66.9
China,CHN,2004,61.7,67
China,CHN,2005,62.1,67.1
China,CHN,2006,62.1,67.1
China,CHN,2007,62.1,67
China,CHN,2008,62.1,66.9
China,CHN,2009,62.1,66.9
China,CHN,2010,62,66.8
Croatia,HRV,1995,57.9,61.4
Croatia,HRV,1996,57.9,61.2
Croatia,HRV,1997,58,61
Croatia,HRV,1998,58.09999847,60.79999924
Croatia,HRV,1999,58,61.1
Croatia,HRV,2000,57.9,61.3
Croatia,HRV,2001,57.9,61.5
Croatia,HRV,2002,57.7,61.7
Croatia,HRV,2003,56.8,62.6
Croatia,HRV,2004,57.4,62.8
Croatia,HRV,2005,57.3,61.8
Croatia,HRV,2006,56.5,61.3
Croatia,HRV,2007,56,62.5
Croatia,HRV,2008,59.4,61.5
Croatia,HRV,2009,59.8,60.2
Croatia,HRV,2010,58.8,61.3
Croatia,HRV,2011,59.4,61.2
Croatia,HRV,2012,60.7,60.2
Croatia,HRV,2013,60.1,60.8
Croatia,HRV,2014,60.8,62.8
Croatia,HRV,2015,62,62.8
Croatia,HRV,2016,61.6,62.2
Croatia,HRV,2017,60.5,63.20000076
Croatia,HRV,2018,61.09999847,61.70000076
Cyprus,CYP,1981,70.9,69.4
Cyprus,CYP,1982,70.9,69.5
Cyprus,CYP,1983,71,69.6
Cyprus,CYP,1984,71,69.8
Cyprus,CYP,1985,71.1,69.9
Cyprus,CYP,1986,71.1,70.1
Cyprus,CYP,1987,71.2,70.2
Cyprus,CYP,1988,71.2,70.4
Cyprus,CYP,1989,65.8,69.5
Cyprus,CYP,1990,65.1,69.4
Cyprus,CYP,1991,66.1,69.5
Cyprus,CYP,1992,64.9,66.1
Cyprus,CYP,1993,63.8,66.4
Cyprus,CYP,1994,62.9,65.6
Cyprus,CYP,1995,62.1,66.7
Cyprus,CYP,1996,60.4,67.6
Cyprus,CYP,1997,59.5,67.80000305
Cyprus,CYP,1998,59.59999847,66.40000153
Cyprus,CYP,1999,59.8,64.6
Cyprus,CYP,2000,62.2,63.9
Cyprus,CYP,2001,64.4,64
Cyprus,CYP,2002,63.7,63.8
Cyprus,CYP,2003,61.9,65.2
Cyprus,CYP,2004,61.3,66.1
Cyprus,CYP,2005,62.2,66
Cyprus,CYP,2006,59.9,66.9
Cyprus,CYP,2007,61.7,67.9
Cyprus,CYP,2008,62.2,67.2
Cyprus,CYP,2009,59.9,67
Cyprus,CYP,2010,60.2,66.5
Cyprus,CYP,2011,61,65.3
Cyprus,CYP,2012,62.2,64.9
Cyprus,CYP,2013,61.9,66.4
Cyprus,CYP,2014,63,65.7
Cyprus,CYP,2015,63,66.3
Cyprus,CYP,2016,61.8,66.6
Cyprus,CYP,2017,61.40000153,65.5
Cyprus,CYP,2018,62.40000153,64.90000153
Czechia,CZE,1996,57.8,62
Czechia,CZE,1997,58,62.09999847
Czechia,CZE,1998,58,62.09999847
Czechia,CZE,1999,57.7,62.1
Czechia,CZE,2000,58,61.6
Czechia,CZE,2001,58.2,61.9
Czechia,CZE,2002,58.1,61.9
Czechia,CZE,2003,58.3,61.8
Czechia,CZE,2004,58.3,61.4
Czechia,CZE,2005,58.4,61.5
Czechia,CZE,2006,58.4,61.6
Czechia,CZE,2007,58.5,62.1
Czechia,CZE,2008,58.8,62.6
Czechia,CZE,2009,59,62
Czechia,CZE,2010,58.9,62.3
Czechia,CZE,2011,59.1,62.6
Czechia,CZE,2012,59.8,63.1
Czechia,CZE,2013,59.9,63.4
Czechia,CZE,2014,60.5,63.3
Czechia,CZE,2015,60.7,63.1
Czechia,CZE,2016,60.8,62.5
Czechia,CZE,2017,60.90000153,62.70000076
Czechia,CZE,2018,61.29999924,63.20000076
Denmark,DNK,1970,66,68.3
Denmark,DNK,1971,65.7,67.8
Denmark,DNK,1972,65.5,67.4
Denmark,DNK,1973,65.3,66.9
Denmark,DNK,1974,65,66.4
Denmark,DNK,1975,64.8,65.9
Denmark,DNK,1976,64.7,65.9
Denmark,DNK,1977,64.6,65.8
Denmark,DNK,1978,64.4,65.7
Denmark,DNK,1979,64.4,65.5
Denmark,DNK,1980,64.3,65.5
Denmark,DNK,1981,64.2,65.4
Denmark,DNK,1982,64.4,66
Denmark,DNK,1983,64,66.1
Denmark,DNK,1984,63.2,65.6
Denmark,DNK,1985,63.8,65.9
Denmark,DNK,1986,64.4,66.5
Denmark,DNK,1987,62,64.8
Denmark,DNK,1988,61.3,64.5
Denmark,DNK,1989,62,65.7
Denmark,DNK,1990,61.9,65.4
Denmark,DNK,1991,61.5,65.1
Denmark,DNK,1992,61.5,64.2
Denmark,DNK,1993,60.5,63.2
Denmark,DNK,1994,59.4,62.4
Denmark,DNK,1995,59.3,62.9
Denmark,DNK,1996,58.7,62.7
Denmark,DNK,1997,58.79999924,63.09999847
Denmark,DNK,1998,59.5,62.70000076
Denmark,DNK,1999,60.6,63.1
Denmark,DNK,2000,59.8,63.4
Denmark,DNK,2001,61,62.9
Denmark,DNK,2002,62.2,62.4
Denmark,DNK,2003,62.3,63.9
Denmark,DNK,2004,61.1,63.4
Denmark,DNK,2005,61.9,63.2
Denmark,DNK,2006,62.3,63.9
Denmark,DNK,2007,62,63.4
Denmark,DNK,2008,62.3,64
Denmark,DNK,2009,62.2,64.6
Denmark,DNK,2010,61.8,64
Denmark,DNK,2011,61.3,63.6
Denmark,DNK,2012,61.9,63.3
Denmark,DNK,2013,61.4,62.5
Denmark,DNK,2014,60.6,63
Denmark,DNK,2015,61.7,63.6
Denmark,DNK,2016,63,63.6
Denmark,DNK,2017,62.70000076,64.59999847
Denmark,DNK,2018,62.5,65.09999847
Estonia,EST,1970,64,68.1
Estonia,EST,1971,63.5,67.8
Estonia,EST,1972,62.9,67.4
Estonia,EST,1973,62.2,66.9
Estonia,EST,1974,61.5,66.4
Estonia,EST,1975,60.7,65.8
Estonia,EST,1976,60.7,65.8
Estonia,EST,1977,60.7,65.7
Estonia,EST,1978,60.7,65.6
Estonia,EST,1979,60.7,65.5
Estonia,EST,1980,60.6,65.5
Estonia,EST,1981,60.5,65.5
Estonia,EST,1982,60.4,65.5
Estonia,EST,1983,60.2,65.5
Estonia,EST,1984,60,65.5
