Entity,Code,Year,"Average effective age of retirement, women (OECD)","Average effective age of retirement, men (OECD)"
Estonia,EST,1985,60.2,65.8
Estonia,EST,1986,60.5,66.1
Estonia,EST,1987,60.8,66.4
Estonia,EST,1988,61.1,66.8
Estonia,EST,1989,61.4,67.1
Estonia,EST,1990,62.1,67.3
Estonia,EST,1991,62.1,67
Estonia,EST,1992,61.6,66.1
Estonia,EST,1993,62.1,65.8
Estonia,EST,1994,62.4,65.9
Estonia,EST,1995,62.5,65.3
Estonia,EST,1996,62.4,65
Estonia,EST,1997,62.70000076,65
Estonia,EST,1998,61.5,63.90000153
Estonia,EST,1999,60.5,63.6
Estonia,EST,2000,58.9,60
Estonia,EST,2001,58.9,61.5
Estonia,EST,2002,57.5,61.7
Estonia,EST,2003,58.3,60.4
Estonia,EST,2004,60.6,59.6
Estonia,EST,2005,63,62.4
Estonia,EST,2006,65,63.8
Estonia,EST,2007,64.8,64.4
Estonia,EST,2008,64.6,66.3
Estonia,EST,2009,63.8,68
Estonia,EST,2010,63.6,65.6
Estonia,EST,2011,62.7,64.5
Estonia,EST,2012,62.8,63.5
Estonia,EST,2013,62.8,64.3
Estonia,EST,2014,62.9,63.7
Estonia,EST,2015,64.2,63.6
Estonia,EST,2016,65.3,64.8
Estonia,EST,2017,65.19999695,65.80000305
Estonia,EST,2018,65.69999695,65.5
Europe average,,1970,65.7,68.4
Europe average,,1971,65.4,68
Europe average,,1972,65.2,67.6
Europe average,,1973,65.1,67.3
Europe average,,1974,64.8,66.9
Europe average,,1975,64.6,66.6
Europe average,,1976,64.2,66.3
Europe average,,1977,63.9,66
Europe average,,1978,63.5,65.6
Europe average,,1979,62.9,65.3
Europe average,,1980,62.8,65.1
Europe average,,1981,62.5,64.7
Europe average,,1982,62.2,64.4
Europe average,,1983,61.7,64.2
Europe average,,1984,61.6,63.9
Europe average,,1985,61.5,63.8
Europe average,,1986,61.4,63.6
Europe average,,1987,61.2,63.4
Europe average,,1988,60.8,63.2
Europe average,,1989,60.6,63.2
Europe average,,1990,60.4,63.2
Europe average,,1991,60.3,62.9
Europe average,,1992,60,62.4
Europe average,,1993,60.2,62.2
Europe average,,1994,60,62
Europe average,,1995,60,61.7
Europe average,,1996,59.7,61.5
Europe average,,1997,59.5,61.5
Europe average,,1998,59.29999924,61.5
Europe average,,1999,59.5,61.5
Europe average,,2000,59.6,61.5
Europe average,,2001,59.6,61.4
Europe average,,2002,59.9,61.5
Europe average,,2003,59.8,61.6
Europe average,,2004,59.9,61.6
Europe average,,2005,60.3,61.9
Europe average,,2006,60.5,62
Europe average,,2007,60.5,62.4
Europe average,,2008,60.9,62.6
Europe average,,2009,60.6,62.5
Europe average,,2010,60.8,62.5
Europe average,,2011,60.9,62.4
Europe average,,2012,61.5,62.6
Europe average,,2013,61.6,62.8
Europe average,,2014,61.8,62.9
Europe average,,2015,61.7,63
Europe average,,2016,62,63.3
Europe average,,2017,62.09999847,63.59999847
Europe average,,2018,62.29999924,64
Finland,FIN,1970,62,65.9
Finland,FIN,1971,60.8,65.6
Finland,FIN,1972,61.2,65.8
Finland,FIN,1973,62.4,65.7
Finland,FIN,1974,62.6,65.9
Finland,FIN,1975,63.3,66.5
Finland,FIN,1976,63.5,65.3
Finland,FIN,1977,63.4,65.8
Finland,FIN,1978,62.6,66.1
Finland,FIN,1979,61.5,66.1
Finland,FIN,1980,62.7,65.9
Finland,FIN,1981,63,66.4
Finland,FIN,1982,62.7,64.9
Finland,FIN,1983,62.6,63.3
Finland,FIN,1984,62.7,63.6
Finland,FIN,1985,62,63
Finland,FIN,1986,61.3,62.6
Finland,FIN,1987,60.6,62.2
Finland,FIN,1988,60.2,61.9
Finland,FIN,1989,60.6,61
Finland,FIN,1990,59.6,61.3
Finland,FIN,1991,59.1,60.7
Finland,FIN,1992,58.8,60.9
Finland,FIN,1993,60.2,60.5
Finland,FIN,1994,59.9,61
Finland,FIN,1995,60.2,60.6
Finland,FIN,1996,60.6,61
Finland,FIN,1997,59.5,59.90000153
Finland,FIN,1998,59.5,60.09999847
Finland,FIN,1999,59.3,59.6
Finland,FIN,2000,59.8,60.2
Finland,FIN,2001,59.9,60.7
Finland,FIN,2002,60,60.8
Finland,FIN,2003,59.8,59.8
Finland,FIN,2004,60.3,59.9
Finland,FIN,2005,60,60.5
Finland,FIN,2006,60.2,60.3
Finland,FIN,2007,60.8,60.1
Finland,FIN,2008,60.7,61.5
Finland,FIN,2009,61.4,61.7
Finland,FIN,2010,61.7,61.7
Finland,FIN,2011,61.8,62.3
Finland,FIN,2012,62,62.9
Finland,FIN,2013,62.2,62.5
Finland,FIN,2014,62.4,61.9
Finland,FIN,2015,62.6,62.5
Finland,FIN,2016,62.6,63.2
Finland,FIN,2017,63.09999847,63.79999924
Finland,FIN,2018,63.40000153,64.30000305
France,FRA,1970,68.8,67.9
France,FRA,1971,66.7,67.4
France,FRA,1972,66.4,66.9
France,FRA,1973,65.5,66.3
France,FRA,1974,65.6,65.9
France,FRA,1975,65.3,65.3
France,FRA,1976,65.1,64.6
France,FRA,1977,64.9,64.5
France,FRA,1978,64.2,63.7
France,FRA,1979,63.7,63.7
France,FRA,1980,63.9,63.6
France,FRA,1981,63.8,63.2
France,FRA,1982,63,62.4
France,FRA,1983,62.2,61.9
France,FRA,1984,61.8,61.2
France,FRA,1985,61.2,61.2
France,FRA,1986,61.2,60.9
France,FRA,1987,60.6,60.6
France,FRA,1988,60.3,60.3
France,FRA,1989,59.9,60.4
France,FRA,1990,59.9,60.4
France,FRA,1991,59.8,60.1
France,FRA,1992,60,60.1
France,FRA,1993,60.1,59.8
France,FRA,1994,60.1,59.9
France,FRA,1995,60,59.6
France,FRA,1996,59.9,59.6
France,FRA,1997,59.40000153,59.59999847
France,FRA,1998,59.29999924,59.5
France,FRA,1999,59,59.3
France,FRA,2000,58.6,59
France,FRA,2001,58.4,59
France,FRA,2002,58.4,58.8
France,FRA,2003,58.7,58.9
France,FRA,2004,59,58.9
France,FRA,2005,59.3,58.8
France,FRA,2006,59.3,58.7
France,FRA,2007,59.5,58.9
France,FRA,2008,59.4,59.1
France,FRA,2009,59.6,59
France,FRA,2010,59.5,59.3
France,FRA,2011,59.4,59
France,FRA,2012,59.9,59.7
France,FRA,2013,59.8,59.6
France,FRA,2014,59.9,59.4
France,FRA,2015,59.9,59.5
France,FRA,2016,60.3,60
France,FRA,2017,60.59999847,60.5
France,FRA,2018,60.79999924,60.79999924
Germany,DEU,1970,64.2,66.5
Germany,DEU,1971,64,65.8
Germany,DEU,1972,63.8,65.4
Germany,DEU,1973,63.6,65.3
Germany,DEU,1974,63.6,65
Germany,DEU,1975,63.6,64.8
Germany,DEU,1976,63.2,64.8
Germany,DEU,1977,62.5,64.4
Germany,DEU,1978,61.8,63.9
Germany,DEU,1979,61.3,63.5
Germany,DEU,1980,60.9,63.1
Germany,DEU,1981,60.9,63
Germany,DEU,1982,60.6,62.8
Germany,DEU,1983,60.4,62.5
Germany,DEU,1984,60.5,62.6
Germany,DEU,1985,60.2,62.4
Germany,DEU,1986,60,62.1
Germany,DEU,1987,60.4,61.5
Germany,DEU,1988,60.9,61
Germany,DEU,1989,60.7,61.4
Germany,DEU,1990,60.8,62.2
Germany,DEU,1991,60.7,61.7
Germany,DEU,1992,60.7,61.9
Germany,DEU,1993,60.3,61.9
Germany,DEU,1994,60,61.2
Germany,DEU,1995,59.2,60.5
Germany,DEU,1996,59,60.3
Germany,DEU,1997,59.59999847,60.59999847
Germany,DEU,1998,59.70000076,61
Germany,DEU,1999,60,60.9
Germany,DEU,2000,60.3,61
Germany,DEU,2001,60.2,61.2
Germany,DEU,2002,60.2,61
Germany,DEU,2003,60.3,61.1
Germany,DEU,2004,60.6,61.3
Germany,DEU,2005,60.7,61.8
Germany,DEU,2006,60.8,61.8
Germany,DEU,2007,60.8,62
Germany,DEU,2008,60.3,61.1
Germany,DEU,2009,60.5,61.8
Germany,DEU,2010,61.2,62
Germany,DEU,2011,61.5,62
Germany,DEU,2012,61.7,62.1
Germany,DEU,2013,62.2,62.4
Germany,DEU,2014,62.7,62.7
Germany,DEU,2015,62.7,62.8
Germany,DEU,2016,63.2,63.3
Germany,DEU,2017,63.40000153,63.59999847
Germany,DEU,2018,63.59999847,64
Greece,GRC,1970,64.6,67.3
Greece,GRC,1971,64.6,67.1
Greece,GRC,1972,64.5,67
Greece,GRC,1973,64.5,66.8
Greece,GRC,1974,64.4,66.7
Greece,GRC,1975,64.3,66.5
Greece,GRC,1976,64.3,66.4
Greece,GRC,1977,63.9,66.3
Greece,GRC,1978,63.6,66.1
Greece,GRC,1979,63.3,66
Greece,GRC,1980,63,65.9
Greece,GRC,1981,62.7,65.8
Greece,GRC,1982,62.6,65.7
Greece,GRC,1983,62.5,65.5
Greece,GRC,1984,63.4,65.3
Greece,GRC,1985,65.1,65.2
Greece,GRC,1986,64.7,64.7
Greece,GRC,1987,64.5,64.5
Greece,GRC,1988,65.2,64.5
Greece,GRC,1989,63.6,64.4
Greece,GRC,1990,60.9,63.7
Greece,GRC,1991,60.3,63.7
Greece,GRC,1992,60.7,63.5
Greece,GRC,1993,60.6,63.7
Greece,GRC,1994,59.8,63
Greece,GRC,1995,60.8,63.2
Greece,GRC,1996,63.5,63.4
Greece,GRC,1997,61.40000153,63.79999924
Greece,GRC,1998,61.59999847,62.59999847
Greece,GRC,1999,63,62.8
Greece,GRC,2000,62.7,63.2
Greece,GRC,2001,61.2,63.1
Greece,GRC,2002,61,62.5
Greece,GRC,2003,61.3,63.1
Greece,GRC,2004,61.3,62.6
Greece,GRC,2005,61.2,62.4
Greece,GRC,2006,61.6,62.1
Greece,GRC,2007,61.2,62.5
Greece,GRC,2008,60.4,62.1
Greece,GRC,2009,59.6,61.9
Greece,GRC,2010,60.3,61.9
Greece,GRC,2011,59.9,61.8
Greece,GRC,2012,60.3,61.9
Greece,GRC,2013,60,62
Greece,GRC,2014,60,61.6
Greece,GRC,2015,59.9,61.8
Greece,GRC,2016,60.2,62
Greece,GRC,2017,59.90000153,61.5
Greece,GRC,2018,60,61.70000076
Hungary,HUN,1970,68.2,69.3
Hungary,HUN,1971,67,68.7
Hungary,HUN,1972,65.8,68.1
Hungary,HUN,1973,64.8,67.5
Hungary,HUN,1974,63.8,66.9
Hungary,HUN,1975,63,66.3
Hungary,HUN,1976,62.7,66.1
Hungary,HUN,1977,62.5,65.9
Hungary,HUN,1978,62.3,65.6
Hungary,HUN,1979,62,65.4
Hungary,HUN,1980,61.8,65.2
Hungary,HUN,1981,61.4,65
Hungary,HUN,1982,61,64.8
Hungary,HUN,1983,60.5,64.6
Hungary,HUN,1984,60,64.5
Hungary,HUN,1985,59.5,64.3
Hungary,HUN,1986,59.4,64.1
Hungary,HUN,1987,59.3,63.8
Hungary,HUN,1988,59.2,63.6
Hungary,HUN,1989,59.1,63.4
Hungary,HUN,1990,59,63.2
Hungary,HUN,1991,58.7,62.9
Hungary,HUN,1992,58.5,62.6
Hungary,HUN,1993,58,62
Hungary,HUN,1994,57.6,61.8
Hungary,HUN,1995,57.5,61.7
Hungary,HUN,1996,56.7,60.4
Hungary,HUN,1997,55.79999924,59.20000076
Hungary,HUN,1998,55.29999924,58.5
Hungary,HUN,1999,56,58.5
Hungary,HUN,2000,55.8,58.3
Hungary,HUN,2001,55.8,57.8
Hungary,HUN,2002,56,57.8
Hungary,HUN,2003,56,58.8
Hungary,HUN,2004,55.6,57.8
Hungary,HUN,2005,57.3,58.9
Hungary,HUN,2006,57.8,59.6
Hungary,HUN,2007,58.1,59.7
Hungary,HUN,2008,58.4,59.5
Hungary,HUN,2009,58.9,59.9
Hungary,HUN,2010,58.9,60.1
Hungary,HUN,2011,58.8,60.3
Hungary,HUN,2012,59.6,60.7
Hungary,HUN,2013,59.8,61.3
Hungary,HUN,2014,60.1,62.6
Hungary,HUN,2015,60.1,63
Hungary,HUN,2016,60.7,63.6
Hungary,HUN,2017,60.20000076,63.29999924
Hungary,HUN,2018,60,63.40000153
Iceland,ISL,1980,70.7,70
Iceland,ISL,1981,70.8,70.1
Iceland,ISL,1982,71.1,70.1
Iceland,ISL,1983,70.3,70.5
Iceland,ISL,1984,68.3,70.6
Iceland,ISL,1985,69.3,70.7
Iceland,ISL,1986,70.2,70.8
Iceland,ISL,1987,70.3,71.2
Iceland,ISL,1988,70.5,71.1
Iceland,ISL,1989,70.6,71.3
Iceland,ISL,1990,70.8,71.4
Iceland,ISL,1991,71,71.7
Iceland,ISL,1992,71.1,71
Iceland,ISL,1993,70.7,71
Iceland,ISL,1994,70,70.6
Iceland,ISL,1995,69.9,70.5
Iceland,ISL,1996,67.4,70.9
Iceland,ISL,1997,68.09999847,71.19999695
Iceland,ISL,1998,68.59999847,70.5
Iceland,ISL,1999,67.8,70.3
Iceland,ISL,2000,66.4,70.3
Iceland,ISL,2001,66.4,69.3
Iceland,ISL,2002,67.6,69
Iceland,ISL,2003,65.9,68.6
Iceland,ISL,2004,65,67.9
Iceland,ISL,2005,64.6,68.9
Iceland,ISL,2006,66.2,69.2
Iceland,ISL,2007,65.5,69.5
Iceland,ISL,2008,65.5,69.1
Iceland,ISL,2009,65.4,69.7
Iceland,ISL,2010,66.4,68.4
Iceland,ISL,2011,65.7,68.2
Iceland,ISL,2012,67.2,68.2
Iceland,ISL,2013,68.3,68.9
Iceland,ISL,2014,68,69.4
Iceland,ISL,2015,68.3,70.1
Iceland,ISL,2016,67.3,69.7
Iceland,ISL,2017,66.59999847,69.80000305
Iceland,ISL,2018,65.90000153,68.09999847
India,IND,1988,64.5,73.3
India,IND,1989,65.3,73.3
India,IND,1990,66.5,73.4
India,IND,1991,67.5,73.4
India,IND,1992,68.8,73.4
India,IND,1993,70,73.5
India,IND,1994,70.3,73.5
India,IND,1995,62.1,74.1
India,IND,1996,62.3,74.5
India,IND,1997,60.70000076,73.5
India,IND,1998,60.40000153,73.59999847
India,IND,1999,61.8,72.4
India,IND,2000,70.6,72
India,IND,2001,65.4,72.3
India,IND,2002,67.4,72.2
India,IND,2003,72.2,71.7
India,IND,2004,67.2,70.7
India,IND,2005,66.9,71.4
India,IND,2006,66.6,72.1
India,IND,2007,66.4,71.8
India,IND,2008,66.1,72.7
India,IND,2009,63.5,73.1
India,IND,2010,61.9,72.4
India,IND,2011,61.3,71.2
India,IND,2012,60.5,71.1
India,IND,2013,61,70.9
India,IND,2014,60.7,70.3
India,IND,2015,60.7,69.7
India,IND,2016,61.4,69.9
India,IND,2017,62.40000153,70.09999847
India,IND,2018,62.29999924,69.80000305
Indonesia,IDN,1987,73.5,75
Indonesia,IDN,1988,74.6,75.2
Indonesia,IDN,1989,73.9,74.6
Indonesia,IDN,1990,73.9,74.5
Indonesia,IDN,1991,67.5,74.4
Indonesia,IDN,1992,66.6,74.1
Indonesia,IDN,1993,66.7,74
Indonesia,IDN,1994,67.1,74.3
Indonesia,IDN,1995,68.1,74.5
Indonesia,IDN,1996,69,74.7
Indonesia,IDN,1997,70,74.90000153
Indonesia,IDN,1998,71.40000153,76
Indonesia,IDN,1999,71.6,74.5
Indonesia,IDN,2000,74.4,75.1
Indonesia,IDN,2001,73.6,75.3
Indonesia,IDN,2002,71.1,75.5
Indonesia,IDN,2003,67,74.4
Indonesia,IDN,2004,68.5,75.6
Indonesia,IDN,2005,69.5,75.3
Indonesia,IDN,2006,70.6,74.8
Indonesia,IDN,2007,71.8,71.7
Indonesia,IDN,2008,72.9,72.2
Indonesia,IDN,2009,73.7,73.1
Indonesia,IDN,2010,74.9,72.8
Indonesia,IDN,2011,73.8,73.4
Indonesia,IDN,2012,73.2,75.7
Indonesia,IDN,2013,71.7,76.9
Indonesia,IDN,2014,72.3,76
Indonesia,IDN,2015,71.8,75.3
Indonesia,IDN,2016,71.4,73.3
Indonesia,IDN,2017,71.80000305,73
Indonesia,IDN,2018,72,73
Ireland,IRL,1970,74.6,73.1
Ireland,IRL,1971,74.5,73
Ireland,IRL,1972,73.9,72.1
Ireland,IRL,1973,73.5,71.4
Ireland,IRL,1974,73.1,70.8
Ireland,IRL,1975,72.8,70.3
Ireland,IRL,1976,72.5,69.9
Ireland,IRL,1977,71.9,69.4
Ireland,IRL,1978,71.3,69
Ireland,IRL,1979,70.6,68.6
Ireland,IRL,1980,70,68.2
Ireland,IRL,1981,69.5,67.8
Ireland,IRL,1982,69.2,67.3
Ireland,IRL,1983,69.1,66.8
Ireland,IRL,1984,67.7,66.5
Ireland,IRL,1985,67.5,66.1
Ireland,IRL,1986,66.1,65.2
Ireland,IRL,1987,65.9,65.5
Ireland,IRL,1988,63.4,64.9
Ireland,IRL,1989,62.9,64.4
Ireland,IRL,1990,63.8,64
Ireland,IRL,1991,64.9,65.2
Ireland,IRL,1992,63.3,63.3
Ireland,IRL,1993,64.4,64.2
Ireland,IRL,1994,65.6,64
Ireland,IRL,1995,64.5,63.2
Ireland,IRL,1996,64.9,63.4
Ireland,IRL,1997,64.40000153,64.40000153
Ireland,IRL,1998,64.19999695,64.30000305
Ireland,IRL,1999,65.6,64.5
Ireland,IRL,2000,66,65.2
Ireland,IRL,2001,65.4,65
Ireland,IRL,2002,66.2,65.1
Ireland,IRL,2003,65.8,64.8
Ireland,IRL,2004,64.7,65.3
Ireland,IRL,2005,65.4,65.3
Ireland,IRL,2006,65.6,65
Ireland,IRL,2007,64.8,65.5
Ireland,IRL,2008,64.7,64.9
Ireland,IRL,2009,64.1,63.1
Ireland,IRL,2010,64,63
Ireland,IRL,2011,64,62.9
Ireland,IRL,2012,62.9,63.7
Ireland,IRL,2013,63.5,64.8
Ireland,IRL,2014,62.9,65.5
Ireland,IRL,2015,63.2,66.5
Ireland,IRL,2016,63.4,66.4
Ireland,IRL,2017,64.09999847,66.09999847
Ireland,IRL,2018,64.09999847,65.59999847
Israel,ISR,1990,64.6,66.4
Israel,ISR,1991,67,67.5
Israel,ISR,1992,65.3,67.1
Israel,ISR,1993,64.6,67.1
Israel,ISR,1994,64.4,66.1
Israel,ISR,1995,64.9,66
Israel,ISR,1996,63.1,65.6
Israel,ISR,1997,62.5,65.40000153
Israel,ISR,1998,63.09999847,65.80000305
Israel,ISR,1999,64.2,66.2
Israel,ISR,2000,64.1,66.3
Israel,ISR,2001,63.3,66.5
Israel,ISR,2002,64.1,66
Israel,ISR,2003,63.3,65.4
Israel,ISR,2004,62.2,65.1
Israel,ISR,2005,61.8,65.4
Israel,ISR,2006,62.5,66.4
Israel,ISR,2007,62.8,66.3
Israel,ISR,2008,63.3,66.1
Israel,ISR,2009,64.1,66.7
Israel,ISR,2010,65,67.6
Israel,ISR,2011,63.9,66.9
Israel,ISR,2012,65,66.9
Israel,ISR,2013,66,68.4
Israel,ISR,2014,66.4,67.8
Israel,ISR,2015,66.5,68.2
Israel,ISR,2016,66.5,69.3
Israel,ISR,2017,65.69999695,69.90000153
Israel,ISR,2018,66,69.40000153
Italy,ITA,1970,61.8,64.9
Italy,ITA,1971,62.2,64.8
Italy,ITA,1972,61.7,64.5
Italy,ITA,1973,61.5,64.2
Italy,ITA,1974,61.3,63.5
Italy,ITA,1975,61.2,63.4
Italy,ITA,1976,61.2,63.3
Italy,ITA,1977,62.4,62.1
Italy,ITA,1978,62.3,62
Italy,ITA,1979,62,61.8
Italy,ITA,1980,61.9,61.9
Italy,ITA,1981,61.7,61.9
Italy,ITA,1982,63.1,62.4
Italy,ITA,1983,62,62.6
Italy,ITA,1984,62,62.5
Italy,ITA,1985,61.5,62.5
Italy,ITA,1986,61.6,62
Italy,ITA,1987,61.6,62
Italy,ITA,1988,60.7,61.8
Italy,ITA,1989,59.5,61.6
Italy,ITA,1990,59.3,61.7
Italy,ITA,1991,59.2,61.7
Italy,ITA,1992,58.6,60.7
Italy,ITA,1993,60.6,59.8
Italy,ITA,1994,59.7,59.6
Italy,ITA,1995,59.7,59.1
Italy,ITA,1996,60,59.4
Italy,ITA,1997,59.5,59.5
Italy,ITA,1998,58.29999924,60
Italy,ITA,1999,58.1,60.2
Italy,ITA,2000,58.4,60.4
Italy,ITA,2001,59,60.3
Italy,ITA,2002,60,61.6
Italy,ITA,2003,59.2,61.9
Italy,ITA,2004,59.4,61.4
Italy,ITA,2005,58.9,61.6
Italy,ITA,2006,58.7,62
Italy,ITA,2007,58.7,61.9
Italy,ITA,2008,58.6,60.9
Italy,ITA,2009,58.5,61
Italy,ITA,2010,59,60.6
Italy,ITA,2011,59.2,60.9
Italy,ITA,2012,60.6,61.2
Italy,ITA,2013,60.3,61.4
Italy,ITA,2014,61.1,61.4
Italy,ITA,2015,60.6,61.8
Italy,ITA,2016,61.3,62.1
